Name,Batch No.,Barcode,Purchase Price,Selling Price,StockQuantity,StockValue
25MM BALCO PP ELBOW ECF/I,,234.025.015,3.86,4.49,0.0 PCS,0.0
25MM BALCO PP TEE ECF/I,,234.025.016,4.16,4.88,0.0 PCS,0.0
25MM BALCO PVC JN BOX 1 WAY ECF/ISI,,238.025.021,18.23,19.87,0.0 PCS,0.0
25MM BALCO PVC JN BOX 1 WAY ECF/ISI/IVORY,,239.025.021,18.23,19.87,0.0 PCS,0.0
25MM BALCO PVC JN BOX 2 WAY ECF/ISI,,238.025.022,18.83,20.92,0.0 PCS,0.0
25MM BALCO PVC JN BOX 2 WAY ECF/ISI/IVORY,,239.025.022,18.83,20.92,0.0 PCS,0.0
25MM BALCO PVC JN BOX 3 WAY ECF/ISI,,238.025.023,20.18,21.91,0.0 PCS,0.0
25MM BALCO PVC JN BOX 3 WAY ECF/ISI/IVORY,,239.025.023,20.18,21.91,0.0 PCS,0.0
25MM BALCO PVC JN BOX 4 WAY ECF/ISI,,2.30E+12,0.0,0.0,0.0 PCS,0.0
25MM BALCO PVC JN BOX 4 WAY ECF/ISI/IVORY,,239.025.024,20.99,22.9,0.0 PCS,0.0
25MM LIGHT BALCO PVC BEND ECF,,233.025.011,4.66,5.48,500.0 PCS,2330.0
25MM LIGHT BALCO RPVC EC/ISI/B,,218.025.001,16.59,19.31,750.0 MTR,12442.5
25MM LIGHT BALCO RPVC EC/ISI/I,,219.025.001,16.4,19.31,150.0 MTR,2460.0
25MM MEDIUM BALCO PVC BEND ECF,,233.025.012,4.53,6.01,350.0 PCS,1585.5
25MM MEDIUM BALCO PVC BEND ECF/IVORY,,234.025.012,7.03,6.01,0.0 PCS,0.0
25MM MEDIUM BALCO PVC LONG BEND ECF/ISI,,238.025.014,10.42,11.62,0.0 PCS,0.0
25MM MEDIUM BALCO PVC LONG BEND ECF/ISI/IVORY,,239.025.014,11.88,12.36,200.0 PCS,2376.0
25MM MEDIUM BALCO RPVC EC/ISI/B,,218.025.002,18.97,22.52,450.0 MTR,8536.5
25MM MEDIUM BALCO RPVC EC/ISI/I,,219.025.002,18.94,22.52,300.0 MTR,5682.0
25MM MEDIUM BALCO SPRING,,250.025.042,163.19,180.31,5.0 PCS,815.95
25MM PLUMBING BALCO UPVC WP/ISI/LG,,206.025.008,32.39,41.33,50.0 MTR,1619.5
3/4 INCH BALCO GARDEN HOSE,,240.025.037,876.48,978.78,15.0 COIL,13147.2
32MM 10KG BALCO UPVC ELBOW WP/ISI/LG,,226.032.051,7.35,8.25,125.0 PCS,918.75
32MM 10KG BALCO UPVC ENDCAP WP/ISI/LG,,226.032.055,3.67,3.96,55.0 PCS,201.85
32MM 10KG BALCO UPVC TEE WP/ISI/LG,,226.032.057,10.35,11.55,101.0 PCS,1045.35
32MM 10KG BALCO UPVC WP/G,,201.032.100,24.45,30.44,0.0 MTR,0.0
32MM 10KG BALCO UPVC WP/ISI/LG,,206.032.100,26.5,32.42,500.0 MTR,13250.0
32MM 10KG BALCO UPVC WP/W,,202.032.100,25.29,30.44,310.0 MTR,7839.9
32MM 12.5KG BALCO UPVC WP/ISI/LG,,206.032.125,33.6,42.57,10.0 MTR,336.0
32MM PLUMBING BALCO UPVC WP/ISI/LG,,206.032.008,50.92,62.62,100.0 MTR,5092.0
40MM 10KG BALCO UPVC WP/ISI/LG,,206.040.100,38.14,48.76,0.0 MTR,0.0
40MM 6KG BALCO UPVC WP/G,,201.040.060,26.43,31.68,0.0 MTR,0.0
40MM 6KG BALCO UPVC WP/ISI/LG,,206.040.060,26.4,33.66,380.0 MTR,10032.0
40MM 6KG BALCO UPVC WP/W,,202.040.060,26.35,31.68,175.0 MTR,4611.25
50ML BALCO SOLVENT CEMENT,,250.051.038,36.02,33.66,106.0 PCS,3818.12
50MM 10KG BALCO UPVC WP/ISI/LG,,206.050.100,60.37,84.89,80.0 MTR,4829.6
50MM 6KG BALCO UPVC WP/G,,201.050.060,39.18,48.26,0.0 MTR,0.0
50MM 6KG BALCO UPVC WP/ISI/LG,,206.050.060,40.2,51.23,430.0 MTR,17286.0
50MM 6KG BALCO UPVC WP/W,,202.050.060,37.77,48.26,285.0 MTR,10764.45
50MM BALCO UPVC SANILIGHT WP/G,,201.050.009,30.86,39.35,0.0 MTR,0.0
63MM 4KG BALCO UPVC WP/G,,201.063.040,45.21,50.24,0.0 MTR,0.0
63MM 4KG BALCO UPVC WP/ISI/LG,,206.063.040,42.81,53.46,695.0 MTR,29752.95
63MM 4KG BALCO UPVC WP/W,,202.063.040,40.99,50.24,590.0 MTR,24184.1
63MM 6KG BALCO UPVC WP/ISI/LG,,206.063.060,65.0,82.91,50.0 MTR,3250.0
63MM 6KG BALCO UPVC WP/W,,202.063.060,61.07,77.96,0.0 MTR,0.0
63MM BALCO UPVC SANILIGHT WP/G,,201.063.009,35.64,44.3,0.0 MTR,0.0
63MM BALCO UPVC SANILIGHT WP/W,,202.063.009,38.02,44.3,10.0 MTR,380.2
75MM 4KG BALCO UPVC WP/G,,201.075.040,62.64,76.97,0.0 MTR,0.0
75MM 4KG BALCO UPVC WP/ISI/LG,,206.075.040,67.99,81.92,175.0 MTR,11898.25
75MM 4KG BALCO UPVC WP/W,,202.075.040,60.33,76.97,185.0 MTR,11161.05
75MM 6KG BALCO UPVC ELBOW WP/ISI/LG,,226.075.050,33.73,37.62,25.0 PCS,843.25
75MM 6KG BALCO UPVC TEE WP/ISI/LG,,226.075.056,45.07,50.49,15.0 PCS,676.05
75MM 6KG BALCO UPVC WP/ISI/6MTR/LG,,206.075.066,90.49,115.58,0.0 MTR,0.0
75MM BALCO UPVC SANILIGHT WP/G,,201.075.009,45.92,53.96,0.0 MTR,0.0
75MM BALCO UPVC SANILIGHT WP/W,,202.075.009,42.58,53.96,50.0 MTR,2129.0
90MM 2.5KG BALCO UPVC WP/W,,202.090.025,55.71,71.03,0.0 MTR,0.0
90MM 4KG BALCO UPVC WP/G,,201.090.040,86.12,107.91,0.0 MTR,0.0
90MM 4KG BALCO UPVC WP/ISI/LG,,206.090.040,95.24,114.84,55.0 MTR,5238.2
